"path","chemical","ppm","device","datetime","split"
"NH4/OppoA83/round2/0vCvV_ngochanpham274@gmail.com_2025-08-25 14_50_50_An_OppoA83_0.05ppm_2_1_NH4+_10.8768775_106.6781994.jpg","NH4","0.05","OppoA83","2025-08-25 14:50:50","train"
"NH4/OppoA83/round2/0XvZ7_ngochanpham274@gmail.com_2025-08-25 15_29_34_An_OppoA83_0.8ppm_2_5_NH4+_10.8768734_106.6782057.jpg","NH4","0.8","OppoA83","2025-08-25 15:29:34","train"
"NH4/OppoA83/round2/1ufUt_ngochanpham274@gmail.com_2025-08-25 15_31_31_An_OppoA83_1ppm_2_2_NH4+_10.8768734_106.6782057.jpg","NH4","1.0","OppoA83","2025-08-25 15:31:31","train"
"NH4/OppoA83/round2/1vKuz_ngochanpham274@gmail.com_2025-08-25 15_07_52_An_OppoA83_0.1ppm_2_4_NH4+_10.8768723_106.6781989.jpg","NH4","0.1","OppoA83","2025-08-25 15:07:52","train"
"NH4/OppoA83/round2/3AYvS_ngochanpham274@gmail.com_2025-08-25 15_31_05_An_OppoA83_1ppm_2_1_NH4+_10.8768734_106.6782057.jpg","NH4","1.0","OppoA83","2025-08-25 15:31:05","train"
"NH4/OppoA83/round2/3ezmW_ngochanpham274@gmail.com_2025-08-25 14_41_08_An_OppoA83_0.02ppm_2_2_NH4+_10.8768738_106.6781935.jpg","NH4","0.02","OppoA83","2025-08-25 14:41:08","train"
"NH4/OppoA83/round2/4aY2p_ngochanpham274@gmail.com_2025-08-25 15_41_16_An_OppoA83_4ppm_2_4_NH4+_10.8768696_106.6782041.jpg","NH4","4.0","OppoA83","2025-08-25 15:41:16","train"
"NH4/OppoA83/round2/4Uurc_ngochanpham274@gmail.com_2025-08-25 14_59_57_An_OppoA83_0.08ppm_2_1_NH4+_10.8768775_106.6781994.jpg","NH4","0.08","OppoA83","2025-08-25 14:59:57","train"
"NH4/OppoA83/round2/5EIo5_ngochanpham274@gmail.com_2025-08-25 15_33_02_An_OppoA83_1ppm_2_5_NH4+_10.8768734_106.6782057.jpg","NH4","1.0","OppoA83","2025-08-25 15:33:02","train"
"NH4/OppoA83/round2/5J0nX_ngochanpham274@gmail.com_2025-08-25 15_35_52_An_OppoA83_2ppm_2_4_NH4+_10.8768734_106.6782057.jpg","NH4","2.0","OppoA83","2025-08-25 15:35:52","train"
"NH4/OppoA83/round2/5Powd_ngochanpham274@gmail.com_2025-08-25 14_48_18_An_OppoA83_0.04ppm_2_4_NH4+_10.8768775_106.6781994.jpg","NH4","0.04","OppoA83","2025-08-25 14:48:18","train"
"NH4/OppoA83/round2/7fGQR_ngochanpham274@gmail.com_2025-08-25 15_36_20_An_OppoA83_2ppm_2_5_NH4+_10.8768734_106.6782057.jpg","NH4","2.0","OppoA83","2025-08-25 15:36:20","train"
"NH4/OppoA83/round2/7nGTs_ngochanpham274@gmail.com_2025-08-25 14_47_15_An_OppoA83_0.04ppm_2_2_NH4+_10.8768775_106.6781994.jpg","NH4","0.04","OppoA83","2025-08-25 14:47:15","train"
"NH4/OppoA83/round2/7zOSm_ngochanpham274@gmail.com_2025-08-25 15_14_42_An_OppoA83_0.4ppm_2_1_NH4+_10.8768723_106.6781989.jpg","NH4","0.4","OppoA83","2025-08-25 15:14:42","train"
"NH4/OppoA83/round2/8GyXy_ngochanpham274@gmail.com_2025-08-25 15_40_51_An_OppoA83_4ppm_2_3_NH4+_10.8768696_106.6782041.jpg","NH4","4.0","OppoA83","2025-08-25 15:40:51","train"
"NH4/OppoA83/round2/8p536_ngochanpham274@gmail.com_2025-08-25 14_56_27_An_OppoA83_0.06ppm_2_1_NH4+_10.8768775_106.6781994.jpg","NH4","0.06","OppoA83","2025-08-25 14:56:27","train"
"NH4/OppoA83/round2/A7JnW_ngochanpham274@gmail.com_2025-08-25 14_57_04_An_OppoA83_0.06ppm_2_2_NH4+_10.8768775_106.6781994.jpg","NH4","0.06","OppoA83","2025-08-25 14:57:04","train"
"NH4/OppoA83/round2/aEK9q_ngochanpham274@gmail.com_2025-08-25 15_26_28_An_OppoA83_0.6ppm_2_5_NH4+_10.8768734_106.6782057.jpg","NH4","0.6","OppoA83","2025-08-25 15:26:28","train"
"NH4/OppoA83/round2/ALXgC_ngochanpham274@gmail.com_2025-08-25 15_37_31_An_OppoA83_4ppm_2_1_NH4+_10.8768734_106.6782057.jpg","NH4","4.0","OppoA83","2025-08-25 15:37:31","train"
"NH4/OppoA83/round2/B6eX2_ngochanpham274@gmail.com_2025-08-25 15_12_29_An_OppoA83_0.2ppm_2_4_NH4+_10.8768723_106.6781989.jpg","NH4","0.2","OppoA83","2025-08-25 15:12:29","train"
"NH4/OppoA83/round2/bmUS1_ngochanpham274@gmail.com_2025-08-25 14_58_20_An_OppoA83_0.06ppm_2_4_NH4+_10.8768775_106.6781994.jpg","NH4","0.06","OppoA83","2025-08-25 14:58:20","train"
"NH4/OppoA83/round2/BvD8N_ngochanpham274@gmail.com_2025-08-25 15_00_26_An_OppoA83_0.08ppm_2_2_NH4+_10.8768775_106.6781994.jpg","NH4","0.08","OppoA83","2025-08-25 15:00:26","train"
"NH4/OppoA83/round2/CG5me_ngochanpham274@gmail.com_2025-08-25 15_34_36_An_OppoA83_2ppm_2_2_NH4+_10.8768734_106.6782057.jpg","NH4","2.0","OppoA83","2025-08-25 15:34:36","train"
"NH4/OppoA83/round2/cwhhI_ngochanpham274@gmail.com_2025-08-25 14_40_36_An_OppoA83_0.02ppm_2_1_NH4+_10.8768738_106.6781935.jpg","NH4","0.02","OppoA83","2025-08-25 14:40:36","train"
"NH4/OppoA83/round2/d1eUH_ngochanpham274@gmail.com_2025-08-25 15_37_59_An_OppoA83_4ppm_2_2_NH4+_10.8768734_106.6782057.jpg","NH4","4.0","OppoA83","2025-08-25 15:37:59","train"
"NH4/OppoA83/round2/d9c9f_ngochanpham274@gmail.com_2025-08-25 14_54_26_An_OppoA83_0.05ppm_2_5_NH4+_10.8768775_106.6781994.jpg","NH4","0.05","OppoA83","2025-08-25 14:54:26","train"
"NH4/OppoA83/round2/dW8ID_ngochanpham274@gmail.com_2025-08-25 15_10_21_An_OppoA83_0.2ppm_2_1_NH4+_10.8768723_106.6781989.jpg","NH4","0.2","OppoA83","2025-08-25 15:10:21","train"
"NH4/OppoA83/round2/dx3xC_ngochanpham274@gmail.com_2025-08-25 15_34_09_An_OppoA83_2ppm_2_1_NH4+_10.8768734_106.6782057.jpg","NH4","2.0","OppoA83","2025-08-25 15:34:09","train"
"NH4/OppoA83/round2/E7lBl_ngochanpham274@gmail.com_2025-08-25 14_38_30_An_OppoA83_0.01ppm_2_4_NH4+_10.8768738_106.6781935.jpg","NH4","0.01","OppoA83","2025-08-25 14:38:30","train"
"NH4/OppoA83/round2/EO2mS_ngochanpham274@gmail.com_2025-08-25 15_32_29_An_OppoA83_1ppm_2_4_NH4+_10.8768734_106.6782057.jpg","NH4","1.0","OppoA83","2025-08-25 15:32:29","train"
"NH4/OppoA83/round2/EvUqN_ngochanpham274@gmail.com_2025-08-25 15_20_24_An_OppoA83_0.5ppm_2_5_NH4+_10.8768723_106.6781989.jpg","NH4","0.5","OppoA83","2025-08-25 15:20:24","train"
"NH4/OppoA83/round2/f7m93_ngochanpham274@gmail.com_2025-08-25 14_35_57_An_OppoA83_0.01ppm_2_1_NH4+_10.8768738_106.6781935.jpg","NH4","0.01","OppoA83","2025-08-25 14:35:57","train"
"NH4/OppoA83/round2/fCiys_ngochanpham274@gmail.com_2025-08-25 14_36_45_An_OppoA83_0.01ppm_2_2_NH4+_10.8768738_106.6781935.jpg","NH4","0.01","OppoA83","2025-08-25 14:36:45","train"
"NH4/OppoA83/round2/FiffN_ngochanpham274@gmail.com_2025-08-25 15_11_56_An_OppoA83_0.2ppm_2_3_NH4+_10.8768723_106.6781989.jpg","NH4","0.2","OppoA83","2025-08-25 15:11:56","train"
"NH4/OppoA83/round2/GHZeG_ngochanpham274@gmail.com_2025-08-25 14_52_20_An_OppoA83_0.05ppm_2_2_NH4+_10.8768775_106.6781994.jpg","NH4","0.05","OppoA83","2025-08-25 14:52:20","train"
"NH4/OppoA83/round2/GNJCx_ngochanpham274@gmail.com_2025-08-25 15_11_27_An_OppoA83_0.2ppm_2_2_NH4+_10.8768723_106.6781989.jpg","NH4","0.2","OppoA83","2025-08-25 15:11:27","train"
"NH4/OppoA83/round2/hBzwG_ngochanpham274@gmail.com_2025-08-25 15_06_45_An_OppoA83_0.1ppm_2_2_NH4+_10.8768723_106.6781989.jpg","NH4","0.1","OppoA83","2025-08-25 15:06:45","train"
"NH4/OppoA83/round2/HMO8l_ngochanpham274@gmail.com_2025-08-25 15_04_49_An_OppoA83_0.1ppm_2_1_NH4+_10.8768775_106.6781994.jpg","NH4","0.1","OppoA83","2025-08-25 15:04:49","train"
"NH4/OppoA83/round2/hPlE9_ngochanpham274@gmail.com_2025-08-25 14_45_06_An_OppoA83_0.02ppm_2_5_NH4+_10.8768775_106.6781994.jpg","NH4","0.02","OppoA83","2025-08-25 14:45:06","train"
"NH4/OppoA83/round2/huPnj_ngochanpham274@gmail.com_2025-08-25 15_16_19_An_OppoA83_0.4ppm_2_4_NH4+_10.8768723_106.6781989.jpg","NH4","0.4","OppoA83","2025-08-25 15:16:19","train"
"NH4/OppoA83/round2/Hx0zw_ngochanpham274@gmail.com_2025-08-25 15_19_17_An_OppoA83_0.5ppm_2_3_NH4+_10.8768723_106.6781989.jpg","NH4","0.5","OppoA83","2025-08-25 15:19:17","train"
