file,size_mb,total_params_M,head_in_dim,head_variant,timm_name,calib_train,seed,loss_weight_reg,strict_load_ok,error,sha256
best.pt,5.73,2.6,N/A,YOLO11n-seg,yolo11n-seg,N/A,N/A,N/A,True,,656601dfcc103364b726b317a65843323099b95bcad9ebe5129dde89da46ca70
runs_multitask_10k/ConvNext_seed0_l2.0_green.pt,340.2,89.14,1024,mlp2,convnext_base.fb_in1k,none,0,2.0,True,,e8b5c8684f6a50ec932ee8cc35777e431423fadae0f8c052bbfa2a8ad6119f69
runs_multitask_10k/ConvNext_seed0_l2.0_none.pt,110.72,29.0,768,mlp2,convnext_tiny.fb_in1k,none,0,2.0,True,,7e21310f241b30801b259f58beeba314d5726321c8db3bd8a401f1d656d011b2
runs_multitask_10k/EffB0_seed0_l2.0_green.pt,23.1,6.02,1280,mlp2,efficientnet_b0.ra_in1k,none,0,2.0,True,,5c93c075f0645a4f627783a4afec44ad807ed4d93799ed5e15ed2492d8639cdd
runs_multitask_10k/EffB0_seed0_l2.0_none.pt,23.1,6.02,1280,mlp2,efficientnet_b0.ra_in1k,none,0,2.0,True,,6c0cb3d2446677c8de279157dcde64e624bdc0c3f35d1fe2871f5122b0158869
runs_multitask_10k/MNV3_seed0_l2.0_green.pt,23.76,6.2,1280,mlp2,mobilenetv3_large_100.ra_in1k,greenborder,0,2.0,True,,155ec1c97279e8c219870edc3754e904c51cc33cc49cff1a17581423f845ce09
runs_multitask_10k/MNV3_seed0_l2.0_none.pt,23.76,6.2,1280,mlp2,mobilenetv3_large_100.ra_in1k,none,0,2.0,True,,9bc13547d7db1c7a0ba1ecb50f8e09a9e9ca29e4c00631f2866cc746d4b7b6a3
runs_multitask_10k/NFNet_seed0_l2.0_green.pt,279.1,73.14,3072,mlp2,dm_nfnet_f0.dm_in1k,none,0,2.0,True,,9a831a2c6beb558e964a9d58b036b007c1f4cd7a884486ad5b389ee0df228668
runs_multitask_10k/NFNet_seed0_l2.0_none.pt,279.1,73.14,3072,mlp2,dm_nfnet_f0.dm_in1k,none,0,2.0,True,,5ebaba0df5c81151da05e179d8c89a483cec4350b4cdc357b7b62a669374ff11
runs_multitask_10k/SwinT_seed0_l2.0_green.pt,109.57,28.7,768,mlp2,swin_tiny_patch4_window7_224.ms_in1k,greenborder,0,2.0,True,,5c494761c16a5b5717769cf2eaa28b5b6a573c77ce51acf590ff03a38346e0b5
runs_multitask_10k/SwinT_seed0_l2.0_none.pt,109.57,28.7,768,mlp2,swin_tiny_patch4_window7_224.ms_in1k,none,0,2.0,True,,95e71735146abe64222e499289945b7071187727d05732be0c21f8847e7de665
runs_multitask_10k/TFB3_seed0_l2.0_green.pt,50.36,13.15,1536,mlp2,tf_efficientnet_b3.ns_jft_in1k,none,0,2.0,True,,eb1d826475dfdd4f5c8806b24aa501b89b767e4ae6bfaf0a2fad16317107b0b8
runs_multitask_10k/TFB3_seed0_l2.0_none.pt,50.36,13.15,1536,mlp2,tf_efficientnet_b3.ns_jft_in1k,none,0,2.0,True,,ea3559c9baed91eb02a1719dc946b7ae135184b483e5678017a730486d5214fe
runs_multitask_13k/ConvNext_seed0_l2.0_green.pt,110.72,29.0,768,mlp2,convnext_tiny.fb_in1k,greenborder,0,2.0,True,,b3c529ba59200c7345737685a4e6f5493e426cf5a979fccc2de0c060faff9dc3
